disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,id,hash,lastRefresh
5106,2015-08-19T00:00:00.000Z,TWISP RIVER FIRE,2015-08-19T00:00:00.000Z,2015-09-02T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-08-24T00:00:00.000Z,2016-04-07T00:00:00.000Z,,10,0,0,1,1,,2015-08-19T00:00:00.000Z,75e0c989-cf1e-4152-9fc5-44b688991bda,f269b0a9a5130c3e62f7d0fa19123a9ce0f7d93c,2024-10-09T19:01:58.075Z
5105,2015-08-15T00:00:00.000Z, MUNICIPAL FIRE,2015-08-14T00:00:00.000Z,2015-08-25T00:00:00.000Z,Fire Management,ID,Idaho                         ,Fire,2015-08-20T00:00:00.000Z,2022-09-22T00:00:00.000Z,2022-09-22T00:00:00.000Z,10,0,0,1,1,,2015-08-15T00:00:00.000Z,05042c0c-e46a-41c3-9260-69743d1c57ea,c7d000417a0aac5a4beb6b2346cfccb80ef8dd1f,2024-10-09T19:01:58.075Z
5104,2015-08-15T00:00:00.000Z,OKANAGAN COUNTY FIRE COMPLEX,2015-08-14T00:00:00.000Z,2015-09-12T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-08-20T00:00:00.000Z,2016-04-07T00:00:00.000Z,,10,0,0,1,1,,2015-08-15T00:00:00.000Z,7ff8770d-2e3c-48ac-9f30-6d7db5153e81,8fe7e7f2721e3d9d1537b2d0e7fbfc9de9949329,2024-10-09T19:01:58.075Z
5103,2015-08-15T00:00:00.000Z,STEVENS COUNTY FIRE COMPLEX,2015-08-14T00:00:00.000Z,2015-09-08T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-08-20T00:00:00.000Z,2016-04-07T00:00:00.000Z,,10,0,0,1,1,,2015-08-14T00:00:00.000Z,33d4e8d9-8741-4d32-a36d-a3b3d568da27,205e8c5629d6684a77d6289687ebc7fbaa916fba,2024-10-09T19:01:58.075Z
5102,2015-08-15T00:00:00.000Z,CANYON CREEK FIRE COMPLEX,2015-08-14T00:00:00.000Z,2015-09-06T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2015-08-20T00:00:00.000Z,2024-03-13T00:00:00.000Z,2024-03-13T00:00:00.000Z,10,0,0,1,1,,2015-08-14T00:00:00.000Z,6b756402-99ed-4395-bcdf-8fdcbcf6b4e5,9ad349d12dc7b8b339b6b2b2f6aa6ab83f2b7a17,2024-10-09T19:01:58.075Z
5101,2015-08-15T00:00:00.000Z,STICKPIN FIRE,2015-08-14T00:00:00.000Z,2015-09-02T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-08-20T00:00:00.000Z,2016-04-07T00:00:00.000Z,,10,0,0,1,1,,2015-08-14T00:00:00.000Z,68562cd9-48d6-4891-9d83-6685a8dee9d0,c7c931b2955f49a5b39c38d661a6e208a02dcb7d,2024-10-09T19:01:58.075Z
5100,2015-08-14T00:00:00.000Z,CHELAN FIRE COMPLEX,2015-08-14T00:00:00.000Z,2015-09-02T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-08-20T00:00:00.000Z,2016-04-07T00:00:00.000Z,,10,0,0,1,1,,2015-08-14T00:00:00.000Z,55f88c1b-49c2-4f79-af1f-6991f185f58d,73bfb205fcd7848e1c3485b35ec9b917045a4639,2024-10-09T19:01:58.075Z
5099,2015-08-14T00:00:00.000Z,CLEARWATER LAWYER BRANCH FIRE COMPLEX,2015-08-10T00:00:00.000Z,2015-08-27T00:00:00.000Z,Fire Management,ID,Idaho                         ,Fire,2015-08-14T00:00:00.000Z,2016-12-29T00:00:00.000Z,,10,0,0,1,1,,2015-08-13T00:00:00.000Z,9473f027-8047-414d-96cb-4b65ebdfd871,44c903586db6f5f550a1d9879e236c9184a507d4,2024-10-09T19:01:58.075Z
5098,2015-08-14T00:00:00.000Z,NINE MILE FIRE,2015-08-13T00:00:00.000Z,2015-08-19T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-08-14T00:00:00.000Z,2016-04-07T00:00:00.000Z,,10,0,0,1,1,,2015-08-13T00:00:00.000Z,fef6036e-e3e2-4c10-8ca0-6e15432fdf05,a75ef5082d1ecdb322c97cd73289da9c8998ddd4,2024-10-09T19:01:58.075Z
5097,2015-08-13T00:00:00.000Z,CORNET AND WINDY RIDGE FIRE COMPLEX,2015-08-11T00:00:00.000Z,2015-08-25T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2015-08-14T00:00:00.000Z,2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,10,0,0,1,1,,2015-08-12T00:00:00.000Z,ee740e58-a91f-45f7-8296-6bba1d12c1c0,e739535651d869eaef634337e09ac978dfa95c02,2024-10-09T19:01:58.075Z
4239,2015-08-12T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDE",2015-07-11T00:00:00.000Z,2015-07-20T00:00:00.000Z,Major Disaster,KY,Kentucky                      ,Severe Storm,2015-08-12T00:00:00.000Z,2015-08-12T00:00:00.000Z,,4,1,0,1,1,,2015-07-24T00:00:00.000Z,8344f173-8fad-4d78-b331-c2e2144628e9,db1b5b8e321421d70e2f4c28d87efe6ce233b2e0,2024-10-09T19:01:58.075Z
5096,2015-08-09T00:00:00.000Z,KRAUSS LANE FIRE,2015-08-08T00:00:00.000Z,2015-08-11T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2015-08-11T00:00:00.000Z,2022-09-28T00:00:00.000Z,2022-09-28T00:00:00.000Z,10,0,0,1,1,,2015-08-08T00:00:00.000Z,2cb4387c-af2b-42ca-832f-1ecb7e77b691,02d22e1e0a4e8253a09c74803ac11c6ece507136,2024-10-09T19:01:58.075Z
5095,2015-08-09T00:00:00.000Z,WILLOW FIRE,2015-08-08T00:00:00.000Z,2015-08-12T00:00:00.000Z,Fire Management,AZ,Arizona                       ,Fire,2015-08-11T00:00:00.000Z,2023-12-21T00:00:00.000Z,2023-12-21T00:00:00.000Z,9,0,0,1,1,,2015-08-08T00:00:00.000Z,916b958a-6c0d-4e19-81ee-7ca26f0d9d1e,12104c1a1acad9bdbcf9f95c56ce9e68dc93086c,2024-10-09T19:01:58.075Z
4238,2015-08-07T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-05-15T00:00:00.000Z,2015-07-27T00:00:00.000Z,Major Disaster,MO,Missouri                      ,Severe Storm,2015-08-08T00:00:00.000Z,2021-07-12T00:00:00.000Z,2021-07-12T00:00:00.000Z,7,0,0,1,1,,2015-07-21T00:00:00.000Z,63a523dc-b22f-4eb8-bda7-fe9f1085d6eb,1fe3e08952eab0de8d57541cec8608291e9e2f3d,2024-10-09T19:01:58.075Z
4237,2015-08-07T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2015-05-08T00:00:00.000Z,2015-05-29T00:00:00.000Z,Major Disaster,SD,South Dakota                  ,Severe Storm,2015-08-07T00:00:00.000Z,2024-01-04T00:00:00.000Z,2024-01-04T00:00:00.000Z,8,1,0,0,1,,2015-07-29T00:00:00.000Z,df5b8129-aaec-4e9e-b154-90a5e639d39b,49d2a0519d800f1e6751acf38b229b6e34d16910,2024-10-09T19:01:58.075Z
4236,2015-08-07T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2015-07-10T00:00:00.000Z,2015-07-14T00:00:00.000Z,Major Disaster,WV,West Virginia                 ,Severe Storm,2015-08-07T00:00:00.000Z,2022-03-15T00:00:00.000Z,2022-03-15T00:00:00.000Z,3,0,0,1,1,,2015-07-27T00:00:00.000Z,a55c7f51-6abe-4bbe-8820-a85022eb19ab,c9b805b018b139535ee746936192790ddb0e382c,2024-10-09T19:01:58.075Z
4235,2015-08-05T00:00:00.000Z,TYPHOON SOUDELOR,2015-08-01T00:00:00.000Z,2015-08-03T00:00:00.000Z,Major Disaster,MP,Northern Mariana Islands      ,Typhoon,2015-08-06T00:00:00.000Z,2015-08-06T00:00:00.000Z,,9,1,0,1,1,,2015-08-04T00:00:00.000Z,809e82c8-30bc-4770-8175-6e9eb506ae2b,e59e29e5e011de2346e8e03375451f545f30e905,2024-10-09T19:01:58.075Z
5094,2015-08-05T00:00:00.000Z,HIGHWAY 8 FIRE,2015-08-04T00:00:00.000Z,2015-08-10T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-08-07T00:00:00.000Z,2016-09-27T00:00:00.000Z,,10,0,0,1,1,,2015-08-04T00:00:00.000Z,a9af3742-5d7c-48c7-a36b-494c34fbb6b9,05c4ee02bc4f6c7fa873e83ae417ff0abff388a7,2024-10-09T19:01:58.075Z
5093,2015-08-02T00:00:00.000Z,ROCKY FIRE,2015-07-29T00:00:00.000Z,2015-08-15T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2015-08-06T00:00:00.000Z,2023-04-25T00:00:00.000Z,2023-04-25T00:00:00.000Z,9,0,0,1,1,,2015-08-01T00:00:00.000Z,78590303-561d-4a1d-938e-ef882feea9c2,030dca57ee9a7805cef4c2c3bd24916c2efefea2,2024-10-09T19:01:58.075Z
4234,2015-07-31T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-06-20T00:00:00.000Z,2015-06-25T00:00:00.000Z,Major Disaster,IA,Iowa                          ,Severe Storm,2015-07-31T00:00:00.000Z,2021-06-07T00:00:00.000Z,2021-06-07T00:00:00.000Z,7,0,0,1,1,,2015-07-22T00:00:00.000Z,14468de1-7415-4e83-9b75-80cbbd8f2bda,2d12d7a747a732843fb78d82ca82d67ef49b90c1,2024-10-09T19:01:58.075Z
5092,2015-07-31T00:00:00.000Z,STOUTS CREEK FIRE,2015-07-30T00:00:00.000Z,2015-08-29T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2015-08-06T00:00:00.000Z,2023-03-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,10,0,0,1,1,,2015-07-30T00:00:00.000Z,f1c8830e-9108-43fb-a303-cc4e41a1cc89,1837a984e781861c117f1b3846895310b3410dda,2024-10-09T19:01:58.075Z
4233,2015-07-30T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-06-17T00:00:00.000Z,2015-06-24T00:00:00.000Z,Major Disaster,SD,South Dakota                  ,Severe Storm,2015-07-30T00:00:00.000Z,2020-01-14T00:00:00.000Z,2020-01-10T00:00:00.000Z,8,0,0,1,1,,2015-07-22T00:00:00.000Z,12fc56ac-c518-48ba-8e1b-e3de086b3608,ddf3478f680dc0bd1d34dec016ec8579a16f8de1,2024-10-09T19:01:58.075Z
4232,2015-07-29T00:00:00.000Z,SEVERE STORM AND FLOODING,2015-06-09T00:00:00.000Z,2015-06-09T00:00:00.000Z,Major Disaster,VT,Vermont                       ,Severe Storm,2015-07-30T00:00:00.000Z,2024-01-23T00:00:00.000Z,2024-01-16T00:00:00.000Z,1,0,0,1,1,,2015-07-16T00:00:00.000Z,41ca8873-5a48-476c-b1a8-7956a76e3112,8d7e485f009e40830316dd78a66ffc999902bf95,2024-10-09T19:01:58.075Z
5091,2015-07-23T00:00:00.000Z,WRAGG FIRE,2015-07-22T00:00:00.000Z,2015-08-02T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2015-07-27T00:00:00.000Z,2016-04-07T00:00:00.000Z,,9,0,0,1,1,,2015-07-23T00:00:00.000Z,3b8b87c8-a6d1-4748-ae5a-c64859a50af2,ab1799efdcbf6fb8d860bcffd70ff59951177dea,2024-10-09T19:01:58.075Z
4231,2015-07-22T00:00:00.000Z,SEVERE STORM,2015-06-23T00:00:00.000Z,2015-06-23T00:00:00.000Z,Major Disaster,NJ,New Jersey                    ,Severe Storm,2015-07-22T00:00:00.000Z,2023-08-03T00:00:00.000Z,2023-08-03T00:00:00.000Z,2,0,0,1,1,,2015-07-13T00:00:00.000Z,fe4f9b69-2daa-4978-b01f-d3bb94703dcc,438f73ab162db4e3f1145d8a694a79567cc9cec1,2024-10-09T19:01:58.075Z
5090,2015-07-21T00:00:00.000Z,BLUE CREEK FIRE,2015-07-20T00:00:00.000Z,2015-07-28T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-07-22T00:00:00.000Z,2016-04-07T00:00:00.000Z,,10,0,0,1,1,,2015-07-20T00:00:00.000Z,e19711e4-6bb1-48a9-af30-db274554e07c,dac8300e64ad9a2d0fb2580431b9e34ba96e3882,2024-10-09T19:01:58.075Z
4230,2015-07-20T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-05-04T00:00:00.000Z,2015-06-21T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Severe Storm,2015-07-20T00:00:00.000Z,2022-07-19T00:00:00.000Z,2021-06-03T00:00:00.000Z,7,0,0,1,1,,2015-07-01T00:00:00.000Z,69bf8108-1f96-41a7-a2d9-dbefa137533c,a944d7329e53917ab72171fe8d68824f234b03a3,2024-10-09T19:01:58.075Z
5089,2015-07-17T00:00:00.000Z,NORTH FIRE,2015-07-17T00:00:00.000Z,2015-07-21T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2015-07-22T00:00:00.000Z,2021-05-24T00:00:00.000Z,2021-05-24T00:00:00.000Z,9,0,0,1,1,,2015-07-17T00:00:00.000Z,89c98d8a-4baf-4a67-8010-6ec7f22d88ef,5477750ecbe6c3112974a7e5a20f8c337c1b79c7,2024-10-09T19:01:58.075Z
4229,2015-07-16T00:00:00.000Z,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",2015-05-04T00:00:00.000Z,2015-06-16T00:00:00.000Z,Major Disaster,CO,Colorado                      ,Flood,2015-07-16T00:00:00.000Z,2015-07-16T00:00:00.000Z,,8,0,0,1,1,,2015-07-07T00:00:00.000Z,2dfd5d74-fe8e-45f9-90ed-686c6c1d407d,27af6ae2f5857ad151d0c80c89526026ccd525a9,2024-10-09T19:01:58.075Z
4228,2015-07-13T00:00:00.000Z,SEVERE STORMS AND FLOODING,2015-05-18T00:00:00.000Z,2015-06-20T00:00:00.000Z,Major Disaster,LA,Louisiana                     ,Flood,2015-07-13T00:00:00.000Z,2015-07-13T00:00:00.000Z,,6,0,0,1,1,,2015-07-06T00:00:00.000Z,8e102c44-f5e1-4b75-a02b-9f99811b7802,18c6a3cc884d2e3df69773f5e782b14952c0cbe9,2024-10-09T19:01:58.075Z
4227,2015-07-07T00:00:00.000Z,SEVERE STORMS AND FLOODING,2015-05-24T00:00:00.000Z,2015-06-06T00:00:00.000Z,Major Disaster,WY,Wyoming                       ,Flood,2015-07-08T00:00:00.000Z,2021-07-20T00:00:00.000Z,2021-07-20T00:00:00.000Z,8,1,0,1,1,,2015-06-19T00:00:00.000Z,0ebdbf30-b65b-43d1-8a36-d586792cb349,f89429b9578693511d26933854730cff8d5e1e0b,2024-10-09T19:01:58.075Z
5088,2015-07-06T00:00:00.000Z,CAPE HORN FIRE,2015-07-05T00:00:00.000Z,2015-07-11T00:00:00.000Z,Fire Management,ID,Idaho                         ,Fire,2015-07-09T00:00:00.000Z,2020-09-30T00:00:00.000Z,2020-09-30T00:00:00.000Z,10,0,0,1,1,,2015-07-05T00:00:00.000Z,41e3b248-204a-4f4e-ab2c-301836d2645c,26eccd895d4011da85ffc50d95912fcc38211c06,2024-10-09T19:01:58.075Z
5087,2015-06-29T00:00:00.000Z,SLEEPY HOLLOW FIRE,2015-06-28T00:00:00.000Z,2015-07-03T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2015-06-30T00:00:00.000Z,2016-04-07T00:00:00.000Z,,10,0,0,1,1,,2015-06-28T00:00:00.000Z,e60d17eb-0baa-4b40-97e1-0d87e0d36353,e196a143c3589ef2a8bb4e27833c6cb940c07d00,2024-10-09T19:01:58.075Z
4226,2015-06-26T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-05-07T00:00:00.000Z,2015-06-15T00:00:00.000Z,Major Disaster,AR,Arkansas                      ,Severe Storm,2015-06-26T00:00:00.000Z,2015-06-26T00:00:00.000Z,,6,1,0,1,1,,2015-06-22T00:00:00.000Z,e33357ae-853c-4e56-97c2-1c5bc933cb00,c3dcd377f24cccb6f9eeffe991667e44a6dfbcf3,2024-10-09T19:01:58.075Z
4225,2015-06-25T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-05-06T00:00:00.000Z,2015-06-17T00:00:00.000Z,Major Disaster,NE,Nebraska                      ,Severe Storm,2015-06-25T00:00:00.000Z,2015-06-25T00:00:00.000Z,,7,0,0,1,1,,2015-06-12T00:00:00.000Z,5b6a781e-f55c-41e0-8bd8-2ce54fb8dc6f,632bd320641c1187fcf8faf77f4fc057245a1e59,2024-10-09T19:01:58.075Z
5086,2015-06-17T00:00:00.000Z,KEARNY RIVER FIRE,2015-06-17T00:00:00.000Z,2015-06-27T00:00:00.000Z,Fire Management,AZ,Arizona                       ,Fire,2015-06-19T00:00:00.000Z,2023-12-21T00:00:00.000Z,2023-12-21T00:00:00.000Z,9,0,0,1,1,,2015-06-17T00:00:00.000Z,637fefa3-01f8-4dc2-b817-1512de3b4c07,008582dc8e578e97dce575c35ff3a8e2114099b6,2024-10-09T19:01:58.075Z
5085,2015-06-16T00:00:00.000Z,CARD STREET FIRE,2015-06-15T00:00:00.000Z,,Fire Management,AK,Alaska                        ,Fire,2015-06-18T00:00:00.000Z,2020-04-28T00:00:00.000Z,2020-04-28T00:00:00.000Z,10,0,0,1,1,,2015-06-16T00:00:00.000Z,78346c3a-af63-4733-a398-ebe0d5aa5865,a4840c1cb2a90b3455cb01a897aaa53a221900ee,2024-10-09T19:01:58.075Z
5084,2015-06-15T00:00:00.000Z,SOCKEYE FIRE,2015-06-15T00:00:00.000Z,,Fire Management,AK,Alaska                        ,Fire,2015-06-18T00:00:00.000Z,2020-04-28T00:00:00.000Z,2020-04-28T00:00:00.000Z,10,0,0,1,1,,2015-06-15T00:00:00.000Z,5ee34014-dad7-40db-9b30-99c23ea4c6a4,a6d0d95520eb8f5a8af86da261ebaa9ff02f7a7e,2024-10-09T19:01:58.075Z
4224,2015-06-05T00:00:00.000Z,TYPHOON DOLPHIN,2015-05-13T00:00:00.000Z,2015-05-16T00:00:00.000Z,Major Disaster,GU,Guam                          ,Typhoon,2015-06-05T00:00:00.000Z,2015-06-05T00:00:00.000Z,,9,0,0,1,1,,2015-05-27T00:00:00.000Z,0c76738b-5ab5-433a-becc-6946bb843678,1de200f936797cc91790fcb6c14295b50278f421,2024-10-09T19:01:58.075Z
4223,2015-05-29T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",2015-05-04T00:00:00.000Z,2015-06-22T00:00:00.000Z,Major Disaster,TX,Texas                         ,Severe Storm,2015-05-30T00:00:00.000Z,2015-12-30T00:00:00.000Z,,6,1,0,1,1,,2015-05-29T00:00:00.000Z,2c53db01-8070-4f5d-bfa6-a8836976160e,c00b54f2bf3a160dc446a3e7a4012fe39fd52492,2024-10-09T19:01:58.075Z
4222,2015-05-26T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-05-05T00:00:00.000Z,2015-06-22T00:00:00.000Z,Major Disaster,OK,Oklahoma                      ,Severe Storm,2015-05-26T00:00:00.000Z,2015-07-21T00:00:00.000Z,,6,1,0,1,1,,2015-05-19T00:00:00.000Z,8a9b4487-5d0f-4a10-abf5-aa2cae550e6a,1931c43d5c4e06c42ae1fbd6019ea35324ebac80,2024-10-09T19:01:58.075Z
4221,2015-05-21T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2015-04-13T00:00:00.000Z,2015-04-15T00:00:00.000Z,Major Disaster,WV,West Virginia                 ,Flood,2015-05-21T00:00:00.000Z,2022-07-21T00:00:00.000Z,2022-07-21T00:00:00.000Z,3,0,0,1,1,,2015-05-11T00:00:00.000Z,193551d4-ec70-444e-bb78-71670c2e45f1,804e80ec028ee235f26a0c156a85874f00487df6,2024-10-09T19:01:58.075Z
4220,2015-05-18T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2015-04-08T00:00:00.000Z,2015-04-11T00:00:00.000Z,Major Disaster,WV,West Virginia                 ,Flood,2015-05-18T00:00:00.000Z,2022-04-20T00:00:00.000Z,2022-04-20T00:00:00.000Z,3,0,0,1,1,,2015-05-07T00:00:00.000Z,a173f080-754d-4201-8912-6b0610b4b117,80d1d517af3093abc969c43d93fd1263658ad94e,2024-10-09T19:01:58.075Z
4219,2015-05-14T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2015-04-03T00:00:00.000Z,2015-04-05T00:00:00.000Z,Major Disaster,WV,West Virginia                 ,Severe Storm,2015-05-14T00:00:00.000Z,2022-01-12T00:00:00.000Z,2022-01-12T00:00:00.000Z,3,0,0,1,1,,2015-04-30T00:00:00.000Z,914a816b-6fcf-49c7-a583-1d1eb724b863,f7ad5d99382b4d0c10ee6f4a34d882d910d33a0b,2024-10-09T19:01:58.075Z
4218,2015-05-12T00:00:00.000Z,"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES",2015-03-03T00:00:00.000Z,2015-03-09T00:00:00.000Z,Major Disaster,KY,Kentucky                      ,Flood,2015-05-12T00:00:00.000Z,2015-05-12T00:00:00.000Z,,4,0,0,1,1,,2015-04-27T00:00:00.000Z,d0a36c9d-2deb-44b5-be0f-0c6904df6220,3194daf96fa1b50cee7983096ff4d595ba3f157e,2024-10-09T19:01:58.075Z
4217,2015-05-01T00:00:00.000Z,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",2015-04-02T00:00:00.000Z,2015-04-17T00:00:00.000Z,Major Disaster,KY,Kentucky                      ,Flood,2015-05-01T00:00:00.000Z,2015-05-01T00:00:00.000Z,,4,1,0,1,1,,2015-04-23T00:00:00.000Z,5c74b453-8e63-4c52-af59-51bbd8a9a198,bd36ad99962c16536985c661b1b13e37c72e419b,2024-10-09T19:01:58.075Z
4216,2015-04-30T00:00:00.000Z,"SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES ",2015-02-15T00:00:00.000Z,2015-02-22T00:00:00.000Z,Major Disaster,KY,Kentucky                      ,Snowstorm,2015-04-30T00:00:00.000Z,2023-12-01T00:00:00.000Z,2023-11-21T00:00:00.000Z,4,0,0,1,1,,2015-04-17T00:00:00.000Z,08460a85-43e7-42ab-a1c1-0e54b8989564,b1d4263f37131f16d31a2c0dc2af819751b4913c,2024-10-09T19:01:58.075Z
4215,2015-04-20T00:00:00.000Z,SEVERE WINTER STORM ,2015-02-15T00:00:00.000Z,2015-02-17T00:00:00.000Z,Major Disaster,GA,Georgia                       ,Severe Ice Storm,2015-04-20T00:00:00.000Z,2020-05-05T00:00:00.000Z,2020-05-04T00:00:00.000Z,4,0,0,1,1,,2015-04-06T00:00:00.000Z,7f827dd6-a7b6-48b0-a5d7-fb640fc043a9,fcbe5bfdc53e59648e5a3e68bdb4ecece703a849,2024-10-09T19:01:58.075Z
4214,2015-04-13T00:00:00.000Z,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",2015-01-26T00:00:00.000Z,2015-01-28T00:00:00.000Z,Major Disaster,MA,Massachusetts                 ,Severe Storm,2015-04-13T00:00:00.000Z,2015-04-13T00:00:00.000Z,,1,0,0,1,1,,2015-03-27T00:00:00.000Z,590f162e-0663-4f36-9903-1f3f579ece3b,e4aec0ac01f4c65c7f8b01c45cfb9a5e1f49544b,2024-10-09T19:01:58.075Z
4213,2015-04-08T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,2015-01-26T00:00:00.000Z,2015-01-28T00:00:00.000Z,Major Disaster,CT,Connecticut                   ,Severe Storm,2015-04-08T00:00:00.000Z,2023-01-05T00:00:00.000Z,2022-12-27T00:00:00.000Z,1,0,0,1,1,,2015-03-27T00:00:00.000Z,759df9e4-b904-417b-b9be-16ba87a6ff11,7f87142bc9b534514e9392459194036c28488fd1,2024-10-09T19:01:58.075Z
4212,2015-04-03T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,2015-01-26T00:00:00.000Z,2015-01-28T00:00:00.000Z,Major Disaster,RI,Rhode Island                  ,Severe Storm,2015-04-03T00:00:00.000Z,2023-03-23T00:00:00.000Z,2023-03-21T00:00:00.000Z,1,0,0,1,1,,2015-03-25T00:00:00.000Z,f7e12b44-eebf-48d9-a48a-c8d49b135671,cbb7ad7b856d4baa761b2104dc216b14cf477cd1,2024-10-09T19:01:58.075Z
4211,2015-04-02T00:00:00.000Z,SEVERE WINTER STORM AND FLOODING,2015-02-15T00:00:00.000Z,2015-02-22T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Severe Ice Storm,2015-04-02T00:00:00.000Z,2024-04-12T00:00:00.000Z,2024-04-12T00:00:00.000Z,4,0,0,1,1,,2015-03-26T00:00:00.000Z,08c56670-184f-4309-bded-75828f1c4d9f,dd46f9c2f9162834d11590f5e4ef5ca22e6ffb73,2024-10-09T19:01:58.075Z
4210,2015-03-31T00:00:00.000Z,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",2015-03-03T00:00:00.000Z,2015-03-14T00:00:00.000Z,Major Disaster,WV,West Virginia                 ,Severe Storm,2015-03-31T00:00:00.000Z,2021-12-14T00:00:00.000Z,2021-12-14T00:00:00.000Z,3,0,0,1,1,,2015-03-24T00:00:00.000Z,56c45690-751d-4073-9d7b-e922a55e69d1,3b8de21ced0f150559dab5f07e91f000ed298768,2024-10-09T19:01:58.075Z
4209,2015-03-25T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,2015-01-26T00:00:00.000Z,2015-01-28T00:00:00.000Z,Major Disaster,NH,New Hampshire                 ,Severe Storm,2015-03-25T00:00:00.000Z,2020-08-12T00:00:00.000Z,2020-08-12T00:00:00.000Z,1,0,0,1,1,,2015-03-13T00:00:00.000Z,886aa947-edcc-42da-af14-60f9e8da4119,cf68e1cf45dfad39a99e5df09c256b887e2c1782,2024-10-09T19:01:58.075Z
4208,2015-03-12T00:00:00.000Z,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",2015-01-26T00:00:00.000Z,2015-01-28T00:00:00.000Z,Major Disaster,ME,Maine                         ,Snowstorm,2015-03-12T00:00:00.000Z,2023-01-05T00:00:00.000Z,2022-12-27T00:00:00.000Z,1,0,0,1,1,,2015-02-27T00:00:00.000Z,9dda7455-607b-461e-9a4d-4688525cc10b,a792b5ba9ec6b55be49c518bdf99054ebefda6b1,2024-10-09T19:01:58.075Z
4207,2015-02-03T00:00:00.000Z,SEVERE WINTER STORM,2014-12-09T00:00:00.000Z,2014-12-12T00:00:00.000Z,Major Disaster,VT,Vermont                       ,Severe Storm,2015-02-03T00:00:00.000Z,2019-12-18T00:00:00.000Z,2019-12-17T00:00:00.000Z,1,0,0,1,1,,2015-01-23T00:00:00.000Z,7dcdde35-f9c2-465d-bddc-9f2dbb1fd0df,15bd982ef065667f110ccb68c1e610e4eaf2f8a6,2024-10-09T19:01:58.075Z
