disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,id,hash,lastRefresh
4823,2024-09-24T00:00:00.000Z,WILDFIRES,2024-06-22T00:00:00.000Z,2024-07-08T00:00:00.000Z,Major Disaster,WA,Washington                    ,Fire,2024-09-24T00:00:00.000Z,2024-09-25T00:00:00.000Z,,10,1,0,1,1,R,2024-08-26T00:00:00.000Z,90912f94-dcfe-4fe7-977b-4b6214f3863b,9694dbed3268d9b91fe2f8242a98974591cf72fb,2024-10-09T19:01:58.075Z
4822,2024-09-24T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2024-06-20T00:00:00.000Z,2024-07-08T00:00:00.000Z,Major Disaster,NE,Nebraska                      ,Severe Storm,2024-09-24T00:00:00.000Z,2024-09-24T00:00:00.000Z,,7,0,0,1,1,"2,F,T,W",2024-09-04T00:00:00.000Z,02a6b61c-d348-4ea7-8bb5-45247af6c32c,e939afed84d232326b47096465a36ed895cc47a1,2024-10-09T19:01:58.075Z
3615,2024-09-24T00:00:00.000Z,TROPICAL STORM HELENE,2024-09-23T00:00:00.000Z,,Emergency,FL,Florida                       ,Tropical Storm,2024-09-24T00:00:00.000Z,2024-09-24T00:00:00.000Z,,4,0,0,1,0,"2,4,F,W",2024-09-23T00:00:00.000Z,82779e8e-e8c6-4a55-abbb-f3b5f3a1b2f9,b2b5d4f4efc89d77eb294a5ae7df95e81f6805f5,2024-10-09T19:01:58.075Z
4821,2024-09-24T00:00:00.000Z,TROPICAL STORM DEBBY,2024-08-04T00:00:00.000Z,2024-08-20T00:00:00.000Z,Major Disaster,GA,Georgia                       ,Tropical Storm,2024-09-24T00:00:00.000Z,2024-09-24T00:00:00.000Z,,4,1,0,1,1,"4,H",2024-09-10T00:00:00.000Z,56b58d52-0ea3-46e0-b61a-c44f7b108224,72e0fcd67e581baa2a8f4706b0cf1ac44898b7fa,2024-10-09T19:01:58.075Z
4820,2024-09-20T00:00:00.000Z,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",2024-08-18T00:00:00.000Z,2024-08-19T00:00:00.000Z,Major Disaster,CT,Connecticut                   ,Severe Storm,2024-09-20T00:00:00.000Z,2024-09-20T00:00:00.000Z,,1,1,0,0,1,"F,M,W",2024-09-09T00:00:00.000Z,e9b28dfc-bb6a-44d4-9afe-fb4b73edd215,997429cbd2b5860b949d012beba6e8652e92eabb,2024-10-09T19:01:58.075Z
4819,2024-09-20T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODNG",2024-07-13T00:00:00.000Z,2024-07-16T00:00:00.000Z,Major Disaster,IL,Illinois                      ,Flood,2024-09-20T00:00:00.000Z,2024-09-20T00:00:00.000Z,,5,1,0,0,1,"2,F,T,W",2024-08-28T00:00:00.000Z,f1309207-0e99-476c-bbe5-cb1ab3c3c935,4b7bb99c503395480e2dbfa3bb17184e2f08874d,2024-10-09T19:01:58.075Z
4818,2024-09-20T00:00:00.000Z,SEVERE STORM AND FLOODING,2024-08-08T00:00:00.000Z,2024-08-10T00:00:00.000Z,Major Disaster,NY,New York                      ,Tropical Storm,2024-09-20T00:00:00.000Z,2024-09-20T00:00:00.000Z,,2,0,0,1,1,"F,W",2024-08-26T00:00:00.000Z,caec3d0b-1959-4d22-8df7-0825481c8369,1919f801b820ded5d1798bb1e7500fb38b27e2f5,2024-10-09T19:01:58.075Z
4816,2024-09-11T00:00:00.000Z,SEVERE STORMS AND FLOODING,2024-08-22T00:00:00.000Z,2024-08-24T00:00:00.000Z,Major Disaster,VT,Vermont                       ,Flood,2024-09-11T00:00:00.000Z,2024-09-11T00:00:00.000Z,,1,0,0,1,1,"F,W",2024-08-21T00:00:00.000Z,5e0f2c03-acb1-4d7f-89f1-be94056df25b,ed7d4a56b94b5bd0f30fa18b9f202ad7fbd00ffc,2024-10-09T19:01:58.075Z
4815,2024-09-11T00:00:00.000Z,TROPICAL STORM DEBBY,2024-08-09T00:00:00.000Z,2024-08-10T00:00:00.000Z,Major Disaster,PA,Pennsylvania                  ,Tropical Storm,2024-09-11T00:00:00.000Z,2024-09-11T00:00:00.000Z,,3,1,0,0,0,"4,F",2024-08-23T00:00:00.000Z,b580cccd-54db-4f95-9404-2d5af1a48fe6,58c0c547b2f4c602dc3f0acbd5c53111db617262,2024-10-09T19:01:58.075Z
5538,2024-09-11T00:00:00.000Z,AIRPORT FIRE,2024-09-09T00:00:00.000Z,,Fire Management,CA,California                    ,Fire,2024-09-19T00:00:00.000Z,2024-09-19T00:00:00.000Z,,9,0,0,1,1,R,2024-09-10T00:00:00.000Z,e226901f-6d6b-4a0e-a953-5ed6858d8c64,a82b0642ced26896368325777c23c8f329d77c6c,2024-10-09T19:01:58.075Z
5537,2024-09-11T00:00:00.000Z,BRIDGE FIRE,2024-09-08T00:00:00.000Z,,Fire Management,CA,California                    ,Fire,2024-09-19T00:00:00.000Z,2024-09-19T00:00:00.000Z,,9,0,0,1,1,R,2024-09-10T00:00:00.000Z,616c8989-c053-4808-8c5e-ff8d4c3b91b4,26251d2901dbace4efd55af5f1493de6007192b0,2024-10-09T19:01:58.075Z
3614,2024-09-10T00:00:00.000Z,TROPICAL STORM FRANCINE,2024-09-10T00:00:00.000Z,2024-09-12T00:00:00.000Z,Emergency,LA,Louisiana                     ,Hurricane,2024-09-11T00:00:00.000Z,2024-09-30T00:00:00.000Z,,6,0,0,1,0,"4,H,T,W",2024-09-10T00:00:00.000Z,b8aab4de-8862-4403-a740-16e2c0f635d3,132f589522b3a459b1e9fbf9e603df2de898c002,2024-10-09T19:01:58.075Z
5536,2024-09-08T00:00:00.000Z,BOYLES FIRE,2024-09-08T00:00:00.000Z,,Fire Management,CA,California                    ,Fire,2024-09-09T00:00:00.000Z,2024-09-09T00:00:00.000Z,,9,0,0,1,1,R,2024-09-08T00:00:00.000Z,1c335cde-ae20-45e5-b6ee-4cdc0f9f824d,e55a9fbd0f776ca9cbcb75f320c5abcf90074089,2024-10-09T19:01:58.075Z
5535,2024-09-07T00:00:00.000Z,LINE FIRE,2024-09-05T00:00:00.000Z,,Fire Management,CA,California                    ,Fire,2024-09-09T00:00:00.000Z,2024-09-09T00:00:00.000Z,,9,0,0,1,1,R,2024-09-07T00:00:00.000Z,7a0b9e42-eab8-4573-842c-843693ad2344,1b1838bbbbba1b28e1c038584e639661f2089d73,2024-10-09T19:01:58.075Z
5534,2024-09-07T00:00:00.000Z,RAIL RIDGE FIRE,2024-09-02T00:00:00.000Z,,Fire Management,OR,Oregon                        ,Fire,2024-09-09T00:00:00.000Z,2024-09-09T00:00:00.000Z,,10,0,0,1,1,R,2024-09-07T00:00:00.000Z,36e2a261-02b5-4257-9f60-d2c9e486d982,fbc8f1762b38e7059660fbf801e0f3639f32157b,2024-10-09T19:01:58.075Z
5533,2024-09-07T00:00:00.000Z,DAVIS FIRE,2024-09-07T00:00:00.000Z,,Fire Management,NV,Nevada                        ,Fire,2024-09-09T00:00:00.000Z,2024-09-09T00:00:00.000Z,,9,0,0,1,1,R,2024-09-07T00:00:00.000Z,aa737f56-c436-477c-a85c-ff3db6309e08,a3699fa7200c8abc9aa3f494fdadbab97826aaa7,2024-10-09T19:01:58.075Z
5532,2024-09-02T00:00:00.000Z,COPPERFIELD FIRE,2024-09-01T00:00:00.000Z,,Fire Management,OR,Oregon                        ,Fire,2024-09-03T00:00:00.000Z,2024-09-03T00:00:00.000Z,,10,0,0,1,1,R,2024-09-01T00:00:00.000Z,fd84764e-b1f2-4d98-aea7-3db2c7f6a827,5ddedb702e60c518923345b4cde8c5c2eac74ad4,2024-10-09T19:01:58.075Z
4814,2024-08-29T00:00:00.000Z,"SEVERE STORM, TORNADOES, AND FLOODING",2024-07-10T00:00:00.000Z,2024-07-11T00:00:00.000Z,Major Disaster,NY,New York                      ,Flood,2024-08-29T00:00:00.000Z,2024-08-29T00:00:00.000Z,,2,0,0,1,1,"4,F,H,T,W",2024-08-08T00:00:00.000Z,e2cbd411-b6c3-4134-bc62-71daf319af7b,35b6aafb6a4603397e794bfc3fdc99d1e0fd2dc0,2024-10-09T19:01:58.075Z
3613,2024-08-25T00:00:00.000Z,SEVERE STORM AND FLOODING,2024-08-18T00:00:00.000Z,2024-08-19T00:00:00.000Z,Emergency,NY,New York                      ,Severe Storm,2024-08-25T00:00:00.000Z,2024-08-25T00:00:00.000Z,,2,0,0,1,0,"F,W",2024-08-23T00:00:00.000Z,830df18d-178c-4cb6-8fae-dc28922be3bc,353cb9dc888c948ab096c55767dd029b7d35bdb5,2024-10-09T19:01:58.075Z
4813,2024-08-23T00:00:00.000Z,STRAIGHT-LINE WINDS,2024-07-24T00:00:00.000Z,2024-07-24T00:00:00.000Z,Major Disaster,MT,Montana                       ,Straight-Line Winds,2024-08-23T00:00:00.000Z,2024-08-23T00:00:00.000Z,,8,0,0,1,1,2,2024-08-14T00:00:00.000Z,0b4d9ead-c848-4939-bfb2-2293cfd7a642,147e8592196c82c2e635688620210b8a7d1972f5,2024-10-09T19:01:58.075Z
5531,2024-08-22T00:00:00.000Z,HOUSE DRAW FIRE,2024-08-22T00:00:00.000Z,,Fire Management,WY,Wyoming                       ,Fire,2024-08-30T00:00:00.000Z,2024-08-30T00:00:00.000Z,,8,0,0,1,1,R,2024-08-22T00:00:00.000Z,df67fbfe-acf3-4af1-aade-f76d5a94f237,4bde94886b135d6f5ec0bf94cabba9e975d91cc2,2024-10-09T19:01:58.075Z
3612,2024-08-21T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2024-08-18T00:00:00.000Z,2024-08-19T00:00:00.000Z,Emergency,CT,Connecticut                   ,Severe Storm,2024-08-21T00:00:00.000Z,2024-09-30T00:00:00.000Z,,1,0,0,1,0,"F,M,W",2024-08-20T00:00:00.000Z,72b060aa-de2a-4ab6-83b2-5a40172fd2f5,6577a7cf20a81067acd44d5baa23f6b4d428ded8,2024-10-09T19:01:58.075Z
4812,2024-08-20T00:00:00.000Z,SEVERE STORM AND FLOODING,2024-07-10T00:00:00.000Z,2024-07-13T00:00:00.000Z,Major Disaster,NH,New Hampshire                 ,Severe Storm,2024-08-20T00:00:00.000Z,2024-08-20T00:00:00.000Z,,1,0,0,1,1,"F,W",2024-08-05T00:00:00.000Z,2f589316-e93d-4a26-b8b5-9eac3552859b,2db9c6e94898b8690daffb6969499acba5fc9665,2024-10-09T19:01:58.075Z
4811,2024-08-20T00:00:00.000Z,"SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2024-05-19T00:00:00.000Z,2024-05-19T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Severe Storm,2024-08-20T00:00:00.000Z,2024-08-20T00:00:00.000Z,,7,0,0,1,1,"2,F,T,W",2024-08-02T00:00:00.000Z,c008431a-d00e-4460-8a6f-bd329079997e,6e2e5739a7a77825acf8ff47732d9881603296d7,2024-10-09T19:01:58.075Z
