"","AMZN","COST","Date"
"161",9.68,87.26,"2012-04-26"
"162",9.58,86.77,"2012-04-25"
"163",9.43,86.81,"2012-04-24"
"164",9.45,87.22,"2012-04-23"
"165",9.62,87.38,"2012-04-20"
"166",9.65,87.94,"2012-04-19"
"167",9.44,87.3,"2012-04-18"
"168",9.36,87.17,"2012-04-17"
"169",9.45,86.66,"2012-04-16"
"170",9.49,86.91,"2012-04-13"
"171",9.4,87.51,"2012-04-12"
"172",9.48,87.5,"2012-04-11"
"173",9.64,87.54,"2012-04-10"
"174",9.6,87.68,"2012-04-09"
"175",9.68,87.41,"2012-04-05"
"176",9.85,90.14,"2012-04-04"
"177",9.91,91.45,"2012-04-03"
"178",9.9,90.94,"2012-04-02"
"179",10.25,90.04,"2012-03-30"
"180",10.06,90.16,"2012-03-29"
"181",10.31,91.24,"2012-03-28"
"182",10.18,91.53,"2012-03-27"
"183",9.82,90.63,"2012-03-26"
"184",9.6,90.49,"2012-03-23"
"185",9.53,90.25,"2012-03-22"
"186",9.63,90.36,"2012-03-21"
"187",9.24,89.9,"2012-03-20"
"188",9.17,90.75,"2012-03-19"
"189",9.16,91.26,"2012-03-16"
"190",9.1,90.82,"2012-03-15"
"191",9.18,89.47,"2012-03-14"
"192",9.2,89.78,"2012-03-13"
"193",9.21,89.28,"2012-03-12"
"194",9.34,88.47,"2012-03-09"
"195",9.21,88.01,"2012-03-08"
"196",9.13,87.9,"2012-03-07"
"197",8.93,87.11,"2012-03-06"
"198",8.95,86,"2012-03-05"
"199",8.97,85.71,"2012-03-02"
"200",8.99,86.54,"2012-03-01"
"201",9.19,86.19,"2012-02-29"
"202",8.94,85.03,"2012-02-28"
"203",8.88,84.17,"2012-02-27"
"204",8.98,84.99,"2012-02-24"
"205",8.98,84.31,"2012-02-23"
"206",9.1,84.35,"2012-02-22"
"207",9.13,84.6,"2012-02-21"
"208",9,83.94,"2012-02-17"
"209",8.89,83.51,"2012-02-16"
"210",9.56,84.48,"2012-02-15"
"211",9.55,83.47,"2012-02-14"
"212",9.36,84.55,"2012-02-13"
"213",9.17,84.12,"2012-02-10"
"214",9.23,84.27,"2012-02-09"
"215",9.25,84.45,"2012-02-08"
"216",9.13,84.66,"2012-02-07"
"217",9.31,84.67,"2012-02-06"
"218",9.14,86.11,"2012-02-03"
"219",8.98,83.76,"2012-02-02"
"220",8.69,82.92,"2012-02-01"
"221",9.7,81.77,"2012-01-31"
"222",9.68,81.2,"2012-01-30"
"223",9.65,82.13,"2012-01-27"
"224",9.47,82.83,"2012-01-26"
"225",9.35,81.39,"2012-01-25"
"226",9.25,81.26,"2012-01-24"
"227",9.54,81.3,"2012-01-23"
"228",9.54,81.3,"2012-01-20"
"229",9.54,81.7,"2012-01-19"
"230",9.1,81.29,"2012-01-18"
"231",9.01,81.24,"2012-01-17"
"232",8.79,79.87,"2012-01-13"
