"","AMZN","COST","Date"
"698",6.52,59.78,"2010-03-11"
"699",6.46,60.21,"2010-03-10"
"700",6.48,60.38,"2010-03-09"
"701",6.41,60.54,"2010-03-08"
"702",6.46,60.85,"2010-03-05"
"703",6.3,60.75,"2010-03-04"
"704",6.27,59.75,"2010-03-03"
"705",6.25,62.12,"2010-03-02"
"706",5.93,61,"2010-03-01"
"707",5.89,61.36,"2010-02-26"
"708",5.91,60.29,"2010-02-25"
"709",5.9,60.8,"2010-02-24"
"710",5.9,60.64,"2010-02-23"
"711",5.87,61.4,"2010-02-22"
"712",5.9,60.73,"2010-02-19"
"713",5.79,60.93,"2010-02-18"
"714",5.85,60.79,"2010-02-17"
"715",6,59.62,"2010-02-16"
"716",5.95,59.19,"2010-02-12"
"717",5.86,58.86,"2010-02-11"
"718",5.9,58.66,"2010-02-10"
"719",5.91,58.8,"2010-02-09"
"720",5.97,58.27,"2010-02-08"
"721",5.79,58.59,"2010-02-05"
"722",5.93,58.17,"2010-02-04"
"723",5.86,58.59,"2010-02-03"
"724",5.94,58,"2010-02-02"
"725",6.16,57.8,"2010-02-01"
